ENTRY_ID,ENTITY_NAME,CREATED_AT,LAST_PLAYED_AT,PLAYS,OWNER,TAGS,CATEGORIES,HAS_AUDIO_DESCRIPTION,CAPTIONS_LANGUAGE,CAPTIONS_LANGUAGE_CODE,CAPTIONS_USAGE_TYPE,CAPTIONS_CREATION_MODE,CAPTIONS_EDITED,CAPTIONS_ACCURACY,CAPTIONS_DISPLAY_ON_PLAYER
111,Tech College Online,2023-01-12,2024-10-20,2296,youth@services.org,lecture;biology;intro,InContext,true,English,en,EAD,Upload,true,100%,true
112,Adult Education Center,2022-05-14,2024-03-01,1454,water@district.gov,infrastructure;roads;maintenance,InContext,false,-,-,-,-,-,-,-
113,Historic Preservation,2022-05-18,2024-04-06,1846,youth@services.org,wellness;vaccination;covid,InContext,false,German,de,EAD,Human,false,95%,false
114,Public Information,2023-08-18,2024-06-17,2891,works@city.gov,applications;assistance;programs,InContext,true,English,en,Standard,Human,false,98%,false
115,Housing Authority,2023-05-26,2024-04-09,1914,works@city.gov,council;meeting;public,InContext,true,French,fr,EAD,Machine,false,95%,true
116,Code Enforcement,2023-09-04,2024-05-12,893,parks@county.gov,tutorial;reading;kids,InContext,false,-,-,-,-,-,-,-
117,Community Center,2022-02-10,2024-01-26,377,transit@regional.gov,conservation;recycling;climate,InContext,false,-,-,-,-,-,-,-
118,City Government Channel,2022-04-23,2024-03-11,879,fire@city.gov,wellness;vaccination;covid,InContext,true,German,de,Standard,Human,false,98%,false
119,Recycling Program,2022-01-28,2024-04-01,340,online@techcollege.edu,applications;assistance;programs,InContext,false,-,-,-,-,-,-,-
120,Economic Development,2023-05-20,2024-03-06,528,health@county.gov,benefits;healthcare;support,InContext,false,German,de,EAD,Upload,false,93%,false
121,Public Works Dept,2022-02-01,2024-04-16,1951,works@city.gov,infrastructure;roads;maintenance,InContext,true,Spanish,es,Standard,Upload,true,95%,false
122,Environmental Agency,2023-06-27,2024-08-25,1707,info@municipal.gov,lecture;biology;intro,InContext,false,-,-,-,-,-,-,-
123,Workforce Development,2022-11-06,2024-06-10,341,online@techcollege.edu,applications;assistance;programs,InContext,true,Spanish,es,Standard,Machine,false,95%,true
124,State Archives,2022-10-17,2024-04-24,242,environment@agency.gov,history;documents;preservation,InContext,false,German,de,EAD,Human,true,100%,false
125,Cultural Center,2022-07-10,2024-08-15,2775,environment@agency.gov,lecture;biology;intro,InContext,false,-,-,-,-,-,-,-
126,Volunteer Services,2022-12-21,2024-03-13,101,media@college.edu,conservation;billing;services,InContext,true,French,fr,Standard,Human,false,98%,true
127,Public Utilities,2023-03-11,2024-07-24,1665,library@public.org,courses;programming;certificates,InContext,false,French,fr,Standard,Machine,false,100%,true
128,Social Services,2023-02-20,2024-08-12,2599,district@schools.edu,lecture;biology;intro,InContext,false,-,-,-,-,-,-,-
129,Public Works Dept,2023-02-11,2024-06-05,2944,webmaster@city.gov,council;meeting;public,InContext,false,-,-,-,-,-,-,-
130,State Archives,2023-10-12,2024-09-04,2730,va@veterans.gov,services;permits;applications,InContext,false,-,-,-,-,-,-,-
131,State Archives,2022-11-01,2024-02-02,698,center@community.org,services;permits;applications,InContext,false,-,-,-,-,-,-,-
132,Historic Preservation,2022-01-17,2024-03-05,2103,info@municipal.gov,courses;programming;certificates,InContext,true,German,de,EAD,Machine,false,100%,true
133,School District Media,2022-05-13,2024-06-24,2004,transit@regional.gov,applications;assistance;programs,InContext,false,German,de,Standard,Human,true,100%,true
134,Municipal Services,2023-09-24,2024-09-15,399,parks@county.gov,safety;routes;schedules,InContext,false,-,-,-,-,-,-,-
135,Regional Transit Auth,2023-05-09,2024-03-06,1966,archives@state.gov,council;meeting;public,InContext,false,Spanish,es,EAD,Machine,false,99%,false
136,Community College,2023-01-06,2024-03-09,1487,youth@services.org,conservation;recycling;climate,InContext,false,French,fr,EAD,Upload,true,98%,false
137,School District Media,2022-10-24,2024-03-11,252,education@state.gov,conservation;billing;services,InContext,true,French,fr,Standard,Upload,true,96%,true
138,Traffic Engineering,2022-09-18,2024-08-17,1522,online@techcollege.edu,training;teachers;professional,InContext,true,English,en,EAD,Human,true,97%,true
139,Recycling Program,2022-06-02,2024-09-05,656,library@public.org,wellness;vaccination;covid,InContext,false,-,-,-,-,-,-,-
140,Animal Services,2022-12-01,2024-06-04,1675,online@techcollege.edu,lecture;biology;intro,InContext,true,Spanish,es,EAD,Machine,true,95%,true
141,Workforce Development,2023-04-14,2024-06-08,2783,youth@services.org,applications;assistance;programs,InContext,false,-,-,-,-,-,-,-
142,Fleet Management,2022-07-14,2024-02-24,560,center@community.org,council;meeting;public,InContext,true,Spanish,es,Standard,Upload,false,98%,true
143,Community College,2023-05-15,2024-04-19,325,webmaster@city.gov,council;meeting;public,InContext,true,English,en,EAD,Machine,false,93%,true
144,University Video Portal,2022-10-15,2024-07-21,1127,online@techcollege.edu,conservation;recycling;climate,InContext,true,German,de,Standard,Human,true,90%,true
145,Emergency Management,2023-03-12,2024-07-26,386,center@community.org,council;meeting;public,InContext,true,English,en,EAD,Human,true,99%,true
146,Water District,2022-10-19,2024-04-23,1956,fire@city.gov,curriculum;math;science,InContext,true,Arabic,ar,EAD,Upload,false,97%,false
147,State Education Dept,2022-04-30,2024-01-26,2200,housing@authority.gov,lecture;biology;intro,InContext,false,Spanish,es,Standard,Human,true,93%,true
148,Disability Services,2022-03-17,2024-07-02,669,online@techcollege.edu,wellness;vaccination;covid,InContext,false,-,-,-,-,-,-,-
149,University Video Portal,2022-12-26,2024-02-13,448,admin@university.edu,safety;routes;schedules,InContext,false,-,-,-,-,-,-,-
150,County Health Dept,2023-06-10,2024-01-12,2740,online@techcollege.edu,programs;mentoring;education,InContext,true,German,de,Standard,Human,false,95%,false
151,Veterans Affairs,2023-04-20,2024-08-05,360,archives@state.gov,conservation;recycling;climate,InContext,false,German,de,Standard,Human,true,100%,true
152,Disability Services,2023-03-31,2024-09-24,2222,center@community.org,wellness;vaccination;covid,InContext,false,-,-,-,-,-,-,-
153,School District Media,2023-05-21,2024-07-04,2795,media@college.edu,applications;assistance;programs,InContext,true,English,en,Standard,Upload,false,98%,false
154,Transportation Dept,2023-06-10,2024-03-21,2438,library@public.org,programs;sports;community,InContext,false,-,-,-,-,-,-,-
155,Animal Services,2022-10-11,2024-01-01,1987,water@district.gov,programs;mentoring;education,InContext,false,Spanish,es,Standard,Machine,false,96%,false
156,Youth Services,2022-09-19,2024-05-16,2901,fire@city.gov,courses;programming;certificates,InContext,true,French,fr,EAD,Machine,true,96%,false
157,Code Enforcement,2023-08-01,2024-05-14,1173,district@schools.edu,conservation;recycling;climate,InContext,false,-,-,-,-,-,-,-
158,Senior Center,2022-07-01,2024-05-08,2202,health@county.gov,programs;sports;community,InContext,false,French,fr,EAD,Human,true,99%,true
159,Regional Transit Auth,2022-07-06,2024-04-27,2089,archives@state.gov,lecture;biology;intro,InContext,false,-,-,-,-,-,-,-
160,University Video Portal,2022-04-10,2024-05-10,1135,library@public.org,training;teachers;professional,InContext,true,Spanish,es,EAD,Upload,false,94%,false
161,Planning Commission,2022-01-12,2024-02-27,2170,district@schools.edu,infrastructure;roads;maintenance,InContext,true,Spanish,es,Standard,Machine,true,100%,true
162,Volunteer Services,2023-09-28,2024-05-31,456,online@techcollege.edu,safety;routes;schedules,InContext,false,-,-,-,-,-,-,-
163,Housing Authority,2023-06-22,2024-02-25,1148,webmaster@city.gov,infrastructure;roads;maintenance,InContext,false,French,fr,EAD,Upload,true,94%,true
164,Business Licensing,2023-03-26,2024-03-24,2777,library@public.org,services;permits;applications,InContext,false,-,-,-,-,-,-,-
165,Public Information,2023-06-23,2024-10-07,1148,center@community.org,orientation;students;campus,InContext,false,-,-,-,-,-,-,-
166,Adult Education Center,2023-08-21,2024-03-17,1414,water@district.gov,safety;routes;schedules,InContext,true,Mandarin,zh,EAD,Upload,false,92%,false
167,University Video Portal,2022-08-04,2024-08-12,849,info@municipal.gov,council;meeting;public,InContext,false,-,-,-,-,-,-,-
168,Cultural Center,2023-03-17,2024-10-20,2607,va@veterans.gov,programs;mentoring;education,InContext,false,-,-,-,-,-,-,-
169,Public Information,2022-01-15,2024-08-07,2593,environment@agency.gov,training;teachers;professional,InContext,false,Mandarin,zh,EAD,Human,true,99%,false
170,IT Services,2023-03-28,2024-04-13,2798,works@city.gov,conservation;billing;services,InContext,true,Mandarin,zh,Standard,Machine,true,92%,false
171,Emergency Management,2023-06-04,2024-02-20,751,fire@city.gov,council;meeting;public,InContext,false,-,-,-,-,-,-,-
172,Human Resources,2022-09-13,2024-04-03,2387,housing@authority.gov,programs;mentoring;education,InContext,false,-,-,-,-,-,-,-
173,Adult Education Center,2022-02-02,2024-10-06,965,water@district.gov,applications;assistance;programs,InContext,false,-,-,-,-,-,-,-
174,Grant Administration,2023-06-19,2024-02-03,729,webmaster@city.gov,conservation;billing;services,InContext,false,-,-,-,-,-,-,-
175,Regional Transit Auth,2022-08-17,2024-01-28,636,district@schools.edu,benefits;healthcare;support,InContext,false,English,en,Standard,Human,false,97%,false
176,Energy Efficiency,2022-09-19,2024-04-21,2618,youth@services.org,lecture;biology;intro,InContext,false,-,-,-,-,-,-,-
177,Housing Authority,2023-10-20,2024-10-22,2321,water@district.gov,conservation;recycling;climate,InContext,true,German,de,EAD,Machine,true,94%,false
178,Parks and Recreation,2022-10-20,2024-05-06,1641,transit@regional.gov,tutorial;reading;kids,InContext,true,French,fr,Standard,Upload,false,96%,true
179,County Health Dept,2023-02-12,2024-04-24,1174,parks@county.gov,curriculum;math;science,InContext,true,German,de,Standard,Machine,true,100%,true
180,Recycling Program,2023-05-15,2024-08-22,2061,health@county.gov,benefits;healthcare;support,InContext,false,English,en,Standard,Human,false,96%,false
181,Housing Authority,2023-01-24,2024-07-13,2928,admin@university.edu,programs;sports;community,InContext,true,English,en,Standard,Upload,false,91%,false
182,Municipal Services,2023-10-17,2024-03-23,569,admin@university.edu,safety;routes;schedules,InContext,false,-,-,-,-,-,-,-
183,University Video Portal,2022-06-08,2024-08-13,1148,info@municipal.gov,programs;sports;community,InContext,false,-,-,-,-,-,-,-
184,Tech College Online,2022-09-26,2024-10-17,814,media@college.edu,safety;routes;schedules,InContext,false,-,-,-,-,-,-,-
185,Public Information,2022-05-11,2024-04-03,2016,housing@authority.gov,conservation;billing;services,InContext,false,Arabic,ar,Standard,Human,true,92%,true
186,Family Services,2022-12-24,2024-09-29,1377,fire@city.gov,safety;routes;schedules,InContext,false,-,-,-,-,-,-,-
187,Social Services,2022-06-07,2024-02-19,1225,education@state.gov,curriculum;math;science,InContext,true,French,fr,Standard,Machine,false,93%,true
188,Municipal Services,2023-10-16,2024-06-19,194,webmaster@city.gov,curriculum;math;science,InContext,true,German,de,Standard,Machine,false,91%,false
189,Community Outreach,2022-12-27,2024-05-27,1006,va@veterans.gov,services;permits;applications,InContext,false,-,-,-,-,-,-,-
190,Emergency Management,2023-01-10,2024-03-09,1179,media@college.edu,history;documents;preservation,InContext,false,German,de,EAD,Upload,false,99%,false
191,Tech College Online,2023-06-09,2024-02-21,1749,admin@university.edu,programs;mentoring;education,InContext,true,Spanish,es,EAD,Machine,true,92%,true
192,Grant Administration,2022-05-23,2024-07-28,2964,webmaster@city.gov,wellness;vaccination;covid,InContext,false,-,-,-,-,-,-,-
193,Tech College Online,2022-03-20,2024-07-21,728,library@public.org,council;meeting;public,InContext,true,Arabic,ar,EAD,Human,false,100%,false
194,Human Resources,2023-04-15,2024-04-25,477,admin@university.edu,wellness;vaccination;covid,InContext,false,French,fr,Standard,Upload,true,94%,true
195,Transportation Dept,2023-10-06,2024-03-14,362,youth@services.org,services;permits;applications,InContext,false,-,-,-,-,-,-,-
196,Neighborhood Watch,2022-12-06,2024-03-09,745,water@district.gov,safety;training;emergency,InContext,false,-,-,-,-,-,-,-
197,City Government Channel,2022-02-23,2024-06-09,965,environment@agency.gov,safety;training;emergency,InContext,false,-,-,-,-,-,-,-
198,School District Media,2023-07-29,2024-01-09,631,library@public.org,programs;mentoring;education,InContext,false,Arabic,ar,Standard,Machine,false,91%,false
199,Cultural Center,2022-06-26,2024-09-13,2386,va@veterans.gov,council;meeting;public,InContext,true,Spanish,es,Standard,Upload,true,93%,false
